mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Microcline,0,0.95,0,0.006,0.005,0,0,0.904,0,0,0.085,8,0,3.05,0,0,13,8.564,12.984,7.201,90.13,116.02,89.53,719.53,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Microcline,0,0.94,0,0,0,0,0,0.871,0,0,0.12,8,0.008,3.06,0,0,12.999,8.567,12.98,7.2,90.07,116.03,89.75,719.417,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Microcline,0,0.95,0,0,0,0,0,0.94,0,0,0.06,8,0,3.05,0,0,13,8.574,12.962,7.21,90.35,116.03,88.8,719.85,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Microcline,0,0.99,0,0,0,0,0,0.92,0,0,0.08,8,0,3.01,0,0,13,8.567,12.97,7.221,90.43,116,88.48,720.89,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Microcline,0,0.99,0,0,0,0,0,0.94,0,0,0.06,8,0,3.01,0,0,13,8.56,12.984,7.209,90.28,116.03,89.03,719.851,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Microcline,0,1,0,0,0,0,0,1,0,0,0,8,0,3,0,0,13,8.643,12.929,7.19,90.1,116.2,89.6,720.883,triclinic,C1,American Mineralogist 64 (1979) 402-408
Microcline,0,1,0,0,0,0,0,0.89,0,0,0.11,8,0,3,0,0,13,8.552,12.975,7.205,90.09,115.92,89.51,719.031,triclinic,C1,American Mineralogist 69 (1984) 1072-1077
Microcline,0,1.01,0,0.01,0,0,0,0.9,0,0,0.09,8,0,2.99,0,0,13,8.5714,12.9645,7.2203,90.74,115.944,87.663,720.878,triclinic,,R040154
Microcline,0,1,0,0,0,0,0,0.96,0,0,0.04,8,0,3,0,0,13,8.578,12.957,7.218,90.72,115.94,87.74,720.851,triclinic,,R050054
Microcline,0,1,0,0,0,0,0,0.95,0,0,0.05,8,0,3,0,0,13,8.568,12.9556,7.2176,90.79,115.94,87.63,719.838,triclinic,,R050150
Microcline,0,1,0,0,0,0,0,0.95,0,0,0.05,8,0,3,0,0,13,8.5714,12.9646,7.2217,90.6,115.9,87.7,721.3,triclinic,C1,The Canadian Mineralogist 25 (1987) 527-537
Microcline,0,1.01,0,0,0,0,0,0.94,0,0,0.06,8,0,2.99,0,0,13,8.561,12.972,7.223,90.56,115.93,87.92,720.894,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Microcline,0,1.03,0,0,0,0,0,0.986,0,0,0.014,8,0,2.97,0,0,13,8.5733,12.9375,7.2075,90.53,115.972,87.968,718.229,triclinic,C1,European Journal of Mineralogy 9 (1997) 263-275
Orthoclase,0,0.97,0,0.005,0.009,0,0,0.931,0,0,0.055,8,0,3.03,0,0,13,8.583,12.988,7.202,90,116.05,90,721.29,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707
Orthoclase,0,0.98,0,0,0,0,0,1,0,0,0,8,0,3.02,0,0,13,8.5616,12.9962,7.1934,90,116.015,90,719.3,monoclinic,C2/m,Acta Crystallographica 14 (1961) 443-456
