mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Diopside,0,0,0,1,0,0,0.1,0,0,0,0,0.9,0,0,0,0,6,0,2,0,0,0,0,10,9.762,8.936,5.249,105.75,441,American Mineralogist 58 (1973) 50-59
Clinoferrosilite,0,0,0,0.4,0,0,1.6,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,10,9.76,9.057,5.234,106.3,444.07,American Mineralogist 60 (1975) 423-434
Diopside,0,0,0,0.87,0,0,0,0,0,0,0,0.94,0.19,0,0,0,6,0,2,0,0,0,0,10,9.76,8.93,5.27,106.44,440.538,American Mineralogist 66 (1981) 127-141
Hedenbergite,0,0,0,0.6,0,0,0.6,0.4,0,0,0,0,0,0,0.4,0,6,0,2,0,0,0,0,10,9.7598,8.9277,5.2748,106.041,441.712,European Journal of Mineralogy 12 (2000) 105-120
Diopside,0,0,0,1,0,0,0.088,0,0,0,0,0.912,0,0,0,0,6,0,2,0,0,0,0,10,9.759,8.934,5.254,105.77,440.86,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0,0,1,0,0,0.059,0,0,0,0,0.941,0,0,0,0,6,0,2,0,0,0,0,10,9.757,8.937,5.245,105.82,440.05,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.8,0,0,0.36,0,0,0,0,0.84,0,0,0,0,6,0,2,0,0,0,0,10,9.757,8.943,5.246,106.05,439.9,American Mineralogist 58 (1973) 50-59
Hedenbergite,0,0,0,0.583,0,0,0.583,0.417,0,0,0,0,0,0,0.417,0,6,0,2,0,0,0,0,10,9.757,8.927,5.272,105.96,441.49,Mineralogical Magazine 37 (1969) 216-229
Hedenbergite,0,0,0,0.615,0,0,0.615,0.385,0,0,0,0,0,0,0.385,0,6,0,2,0,0,0,0,10,9.756,8.9252,5.2739,106.031,441.363,American Mineralogist 91 (2006) 1271-1292
Diopside,0,0,0.028,0.891,0,0,0,0,0,0,0,0.905,0,0,0.104,0,6,0,1.927,0.067,0.081,0,0,10,9.756,8.929,5.269,106.06,441.076,European Journal of Mineralogy 16 (2004) 443-449
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.755,8.926,5.241,105.84,439.04,American Mineralogist 54 (1969) 238-245
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.754,8.933,5.252,105.84,440.22,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.6,0,0,0.84,0,0,0,0,0.56,0,0,0,0,6,0,2,0,0,0,0,10,9.752,8.981,5.249,106.63,440.5,American Mineralogist 58 (1973) 50-59
Augite,0,0,0,1,0,0,0.25,0,0,0,0,0.74,0,0,0,0,6,0,2,0,0,0,0,9.99,9.7504,8.9015,5.27444,106.016,440.016,Journal of Applied Crystallography 33 (2000) 267-278
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.75,8.927,5.254,105.79,439.99,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.4,0,0,1.2,0,0,0,0,0.4,0,0,0,0,6,0,2,0,0,0,0,10,9.749,9.018,5.247,107.4,440,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.7485,8.931,5.249,105.85,439.6,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0.018,0.938,0,0,0,0,0,0,0,0.925,0,0,0.066,0,6,0,1.97,0.028,0.054,0,0,10,9.748,8.926,5.264,105.89,440.523,European Journal of Mineralogy 16 (2004) 443-449
Diopside,0,0,0.043,0.79,0,0,0,0,0,0,0,0.772,0,0,0.19,0,6,0,1.879,0.165,0.127,0,0,9.97,9.748,8.926,5.281,106.09,441.503,European Journal of Mineralogy 16 (2004) 443-449
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.748,8.924,5.251,105.79,439.48,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0.029,0,0.798,0.071,0,0.059,0,0,0.073,0,0.955,0,0,0.023,0,6,0,1.992,0,0,0,0,10,9.7476,8.9478,5.2622,106.056,441.063,American Mineralogist 81 (1996) 632-638
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.747,8.9235,5.2524,105.939,439.276,American Mineralogist 75 (1990) 1274-1281
Diopside,0,0,0.022,0.817,0,0,0,0,0,0,0,0.832,0,0,0.164,0,6,0,1.883,0.184,0.068,0,0,9.97,9.747,8.922,5.278,106.1,440.987,European Journal of Mineralogy 16 (2004) 443-449
Diopside,0,0,0,0.89,0,0,0,0,0,0,0,1.11,0,0,0,0,6,0,2,0,0,0,0,10,9.747,8.9235,5.2524,105.939,439.276,The Canadian Mineralogist 28 (1990) 93-109
Augite,0,0,0,0.3,0,0,1.445,0,0,0,0,0.255,0,0,0,0,6,0,2,0,0,0,0,10,9.746,9.055,5.255,107.7,441.8,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,10,9.7456,8.9198,5.2516,105.86,439.137,American Mineralogist 66 (1981) 315-323
Augite,0,0,0,0.6,0,0,0.42,0,0,0,0,0.98,0,0,0,0,6,0,2,0,0,0,0,10,9.745,8.939,5.244,106.69,437.6,American Mineralogist 58 (1973) 50-59
