mineral,Ca,Co2+,Fe2+,Mg,Mn2+,Ni,Zn,O,Si,a,b,c,V,space group,reference
Forsterite,0,0,0.307,1.688,0.004,0.002,0,4,1,4.764,10.241,6.002,292.83,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.26,1.74,0,0,0,4,1,4.764,10.232,5.996,292.3,Pbnm,European Journal of Mineralogy 24 (2012) 935-956
Forsterite,0,0,0.6,1.4,0,0,0,4,1,4.764,10.254,6.013,293.7,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.318,1.682,0,0,0,4,1,4.764,10.24,6.002,292.798,Pbnm,"Neues Jahrbuch fur Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.2,1.8,0,0,0,4,1,4.764,10.226,5.991,291.862,Pbnm,"Neues Jahrbuch fur Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.19,1.81,0,0,0,4,1,4.7641,10.2269,5.9952,292.098,Pbnm,Physics and Chemistry of Minerals 14 (1987) 368-372
Forsterite,0,0,0.184,1.816,0,0,0,4,1,4.7642,10.2258,6.0045,292.526,Pbnm,The Canadian Mineralogist 32 (1994) 541-552
Forsterite,0,0,0.2,1.8,0,0,0,4,1,4.7644,10.237,5.9975,292.517,Pbnm,The Canadian Mineralogist 32 (1994) 541-552
Forsterite,0.002,0,0.25,1.742,0.006,0,0,4,1,4.7646,10.236,5.9983,292.54,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0,0.178,1.822,0,0,0,4,1,4.7649,10.2376,5.9986,292.619,Pbnm,The Canadian Mineralogist 32 (1994) 541-552
Forsterite,0,0,0.2,1.8,0,0,0,4,1,4.7649,10.237,5.998,292.572,Pbnm,The Canadian Mineralogist 32 (1994) 541-552
Forsterite,0,0,0.183,1.809,0.003,0.008,0,4,0.999,4.765,10.237,5.995,292.432,,R100101
Forsterite,0,0.401,0,1.599,0,0,0,4,1,4.765,10.225,5.986,291.651,Pbnm,American Mineralogist 72 (1987) 594-598
